id;name;motto;logo;logo_content_type;description
1;Norfolkinsel;Analyst;../fake-data/blob/hipster.png;image/png;Guatemala Orchestrator
2;Concrete heuristic;Borders;../fake-data/blob/hipster.png;image/png;Generic
3;content Account action-items;Kirgisistan edge;../fake-data/blob/hipster.png;image/png;Towels Colombian Rustic
4;Libyen Technician;Small navigate Architect;../fake-data/blob/hipster.png;image/png;deposit Handmade back
5;collaborative;Computers;../fake-data/blob/hipster.png;image/png;Mouse Ukraine
6;Global;Branding Bypass invoice;../fake-data/blob/hipster.png;image/png;Accountability Villages support
7;generating Specialist;Street;../fake-data/blob/hipster.png;image/png;quantify Loan
8;interfaces Ergonomic;Awesome HDD;../fake-data/blob/hipster.png;image/png;Dollar
9;Generic Frozen;recontextualize;../fake-data/blob/hipster.png;image/png;value-added Thüringen Savings
10;Creative Terrace optical;Kids;../fake-data/blob/hipster.png;image/png;Vista
