id;role_type;role;description
1;SCRUM_MASTER;navigating Electronics Self-enabling;Riel
2;SENIOR_MEMBER;Plastic Central Fish;strategize
3;JUNIOR_MEMBER;embrace Cheese;Regional De-engineered
4;PRODUCT_OWNER;Soft;program card Lights
5;PRODUCT_OWNER;Upgradable Paradigm turquoise;Grass-roots solution-oriented
6;JUNIOR_MEMBER;Computer withdrawal complexity;Account Spur virtual
7;SCRUM_MASTER;program portals Mobility;Chicken Security Avon
8;PRODUCT_OWNER;Baden-Württemberg action-items;core yellow
9;SENIOR_MEMBER;Berkshire;Keyboard
10;STAKEHOLDER;back-end monitor;backing Junction
